,Unnamed: 0,reviews,cleaned_reviews,sentiment_score
0,0,Couldn’t book in online. Arrived at check in to find we had been bumped off due to overselling. No BA staff available. Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse. Had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. Airlines should be legally stopped from selling seats twice.,couldnt book in online arrived at check in to find we had been bumped off due to overselling no ba staff available very helpful gatwick staff got us a bus to lhr and a flight to toulouse had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight airlines should be legally stopped from selling seats twice,"{'neg': 0.079, 'neu': 0.792, 'pos': 0.129, 'compound': 0.5709}"
1,1,"London Heathrow to Mumbai in a Boeing 787-8 in Business Class. The lounge near Terminal 5, Gate B36 at Heathrow was outstanding in its service and offerings. It provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours. The 787-8 on our flight featured the older Club World seating. Not the best in class but comfortable enough. I hear that the new Club Suites configuration is far superior. British Airways onboard service was outstanding in every respect. All in all, a very comfortable flight. One minor irritant: for some reason this aircraft was not fitted with WiFi. We got into Mumbai at 8 am, a civilized time to arrive.",london heathrow to mumbai in a boeing 7878 in business class the lounge near terminal 5 gate b36 at heathrow was outstanding in its service and offerings it provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours the 7878 on our flight featured the older club world seating not the best in class but comfortable enough i hear that the new club suites configuration is far superior british airways onboard service was outstanding in every respect all in all a very comfortable flight one minor irritant for some reason this aircraft was not fitted with wifi we got into mumbai at 8 am a civilized time to arrive,"{'neg': 0.059, 'neu': 0.74, 'pos': 0.201, 'compound': 0.9708}"
2,2,"Keflavík, Iceland to London Heathrow on an A320 in Business Class. The journey got off on an unpleasant note - the Business Class line at Keflavík was so long that it looked like an Economy Class check-in. It took over 30 mins to get through. There was no lounge access offered. The boarding process was well handled. British Airways Business Class seats for the Club Europe product are terrible - exactly the same as Economy with the middle seat left vacant. You don't even get extra pitch. What made the overall product tolerable were the good onboard service and the inflight WiFi. Also the fact that the flight leaves at a convenient mid-morning time of 10:40 am.",keflavík iceland to london heathrow on an a320 in business class the journey got off on an unpleasant note  the business class line at keflavík was so long that it looked like an economy class checkin it took over 30 mins to get through there was no lounge access offered the boarding process was well handled british airways business class seats for the club europe product are terrible  exactly the same as economy with the middle seat left vacant you dont even get extra pitch what made the overall product tolerable were the good onboard service and the inflight wifi also the fact that the flight leaves at a convenient midmorning time of 1040 am,"{'neg': 0.068, 'neu': 0.872, 'pos': 0.061, 'compound': -0.2263}"
3,3,"Terrible Experience with British Airways. I booked a flight with BA to travel from Gibraltar to London Heathrow on May 10, 2023. My flight was scheduled to leave at 4:00 p.m. in the afternoon. I had originally planned on leaving my luggage at Heathrow upon arrival and travelling to visit and overnight at my cousin's place. En route to GIB airport a few hours prior to departure, I checked my flight details and found out that my flight had been cancelled. I had a connecting flight booked with Westjet from London Heathrow to Vancouver the following day and I had to make that flight, so it was imperative that I got to London. I checked the BA website and couldn't find any other flights with them that would work, so unfortunately I made the mistake of requesting a refund. I managed to find a flight out of Malaga that got me into London just after 10:00 p.m. so I booked that and then called British Airways as I wanted to discuss compensation. That's when they advised me that because I had requested a refund (they used the phrase ""abandoned"" travel with them), they were not prepared to do anything for me. Apparently, I should have called them first, and then they would have made the arrangements. Of course they don't explain that on their website - they just ask if you want a refund and then proceed. And even when I plead my case with the agent at Malaga airport and then followed up with Customer Relations several times via email, they flat out refused to budge. I had used a travel voucher to cover the cost of my flight and had used Avios to cover the cost of my checked baggage, so in other words no out of pocket costs for the trip. Once this incident happened, I ended up spending 660 euros in airfare and checked baggage charges to get to London from Malaga (i.e., different airport than the one I had originally booked from). And because the luggage storage facility at Heathrow had closed by the time I eventually arrived, I ended up booking a night at a hotel since I couldn't travel by train to my cousin's place any longer (3 bags in tow) and I didn't want to put him out and have him drive to the airport to pick me up. This cost me another £125 in room and meal costs. All BA ended up doing to compensate me was to give me 5,000 free Avios - a mere pittance compared to my out of pocket expenses. Despite trying to explain to them why I requested the refund instead of calling them first, they wouldn't budge. Very easy for them to say what I should have done since they work there and know the rules and they weren't the ones scrambling to find alternative travel arrangements within a few hours. I pointed out that on their website they should simply instruct customers to call them when this situation happens, and that way they would never encounter this problem. My feeling is that they put the refund option out there in the hope that customers will make the mistake I did so they can then wash their hands of the situation and ultimately save money. I've been an Executive Club member for years and they simply didn't care. They said there was nothing they could do. I'm sure if one of the BA executive's friends or family members had gone through this, staff there would have been given the instruction to make things right. I used to be a fan of BA but they have really gone downhill in my opinion. Once I used up my remaining Avios and travel credit, I will cancel my Executive Club membership and never fly with them again.",terrible experience with british airways i booked a flight with ba to travel from gibraltar to london heathrow on may 10 2023 my flight was scheduled to leave at 400 pm in the afternoon i had originally planned on leaving my luggage at heathrow upon arrival and travelling to visit and overnight at my cousins place en route to gib airport a few hours prior to departure i checked my flight details and found out that my flight had been cancelled i had a connecting flight booked with westjet from london heathrow to vancouver the following day and i had to make that flight so it was imperative that i got to london i checked the ba website and couldnt find any other flights with them that would work so unfortunately i made the mistake of requesting a refund i managed to find a flight out of malaga that got me into london just after 1000 pm so i booked that and then called british airways as i wanted to discuss compensation thats when they advised me that because i had requested a refund they used the phrase abandoned travel with them they were not prepared to do anything for me apparently i should have called them first and then they would have made the arrangements of course they dont explain that on their website  they just ask if you want a refund and then proceed and even when i plead my case with the agent at malaga airport and then followed up with customer relations several times via email they flat out refused to budge i had used a travel voucher to cover the cost of my flight and had used avios to cover the cost of my checked baggage so in other words no out of pocket costs for the trip once this incident happened i ended up spending 660 euros in airfare and checked baggage charges to get to london from malaga ie different airport than the one i had originally booked from and because the luggage storage facility at heathrow had closed by the time i eventually arrived i ended up booking a night at a hotel since i couldnt travel by train to my cousins place any longer 3 bags in tow and i didnt want to put him out and have him drive to the airport to pick me up this cost me another 125 in room and meal costs all ba ended up doing to compensate me was to give me 5000 free avios  a mere pittance compared to my out of pocket expenses despite trying to explain to them why i requested the refund instead of calling them first they wouldnt budge very easy for them to say what i should have done since they work there and know the rules and they werent the ones scrambling to find alternative travel arrangements within a few hours i pointed out that on their website they should simply instruct customers to call them when this situation happens and that way they would never encounter this problem my feeling is that they put the refund option out there in the hope that customers will make the mistake i did so they can then wash their hands of the situation and ultimately save money ive been an executive club member for years and they simply didnt care they said there was nothing they could do im sure if one of the ba executives friends or family members had gone through this staff there would have been given the instruction to make things right i used to be a fan of ba but they have really gone downhill in my opinion once i used up my remaining avios and travel credit i will cancel my executive club membership and never fly with them again,"{'neg': 0.043, 'neu': 0.927, 'pos': 0.03, 'compound': -0.5966}"
4,4,An airline that lives in their past glory and heading a future of crisis is British Airways. I am not joking we are a family of 7 all in Business Class heading for a Norwegian and Arctic Cruise and they lost 10 of our bags! They will never see me on any of their flights ever a disaster of an airline,an airline that lives in their past glory and heading a future of crisis is british airways i am not joking we are a family of 7 all in business class heading for a norwegian and arctic cruise and they lost 10 of our bags they will never see me on any of their flights ever a disaster of an airline,"{'neg': 0.185, 'neu': 0.761, 'pos': 0.053, 'compound': -0.8256}"
5,5,"Check-in Desk rude and dismissive. Flight late but seems the new norm. One world emerald, club world check-in. Staff uncommunicative, did not know what baggage allowance entitled to, once raised (politely) became argumentative and accusatory.",checkin desk rude and dismissive flight late but seems the new norm one world emerald club world checkin staff uncommunicative did not know what baggage allowance entitled to once raised politely became argumentative and accusatory,"{'neg': 0.132, 'neu': 0.802, 'pos': 0.066, 'compound': -0.3818}"
6,6,"I chose British Airways especially because I was going to travel with my niece and nephew, and wanted everything to work well. What a disaster! First, it took me two hours to do the check-in online due to a technical problem. I also had to spend more than 20 minutes in a call to a UK number from my Spanish cell phone because that’s the only service they provide on weekends. Then, at the airport, when there was the boarding time, we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on. They just told us to wait. Finally we could access the plane. After 40 minutes inside, they told us to leave the plane again and told us the flight had been cancelled. We had to take our luggage and queue again for a couple of hours. Then, do the check in again and wait for another flight to take off, which was again delayed! We spent almost 12 hours at the airport. No information was provided, no solutions were offered. We had to seat in the last raw (when I had paid to seat on the first half of the plane). No money was refunded no apologizes or compensation was given. I also had pre-purchased food and they couldn’t provide the service. All in all, terrible. Never again!",i chose british airways especially because i was going to travel with my niece and nephew and wanted everything to work well what a disaster first it took me two hours to do the checkin online due to a technical problem i also had to spend more than 20 minutes in a call to a uk number from my spanish cell phone because thats the only service they provide on weekends then at the airport when there was the boarding time we had to wait with the rest of the people for almost two hours standing on the line without knowing what was going on they just told us to wait finally we could access the plane after 40 minutes inside they told us to leave the plane again and told us the flight had been cancelled we had to take our luggage and queue again for a couple of hours then do the check in again and wait for another flight to take off which was again delayed we spent almost 12 hours at the airport no information was provided no solutions were offered we had to seat in the last raw when i had paid to seat on the first half of the plane no money was refunded no apologizes or compensation was given i also had prepurchased food and they couldnt provide the service all in all terrible never again,"{'neg': 0.099, 'neu': 0.869, 'pos': 0.032, 'compound': -0.9349}"
7,7,"I booked Premium Economy from INV to LAX (via LHR). They notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for! Then they cancelled a flight on my journey to LAX! They then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on - the flight that I have no chance of making as my return flight arrives too late into LHR. They re-routed me from LAX to JFK to LHR - which I would have accepted - but they booked the journey in Economy (LAX to JFK) which my husband (6'4"" with a knee injury) - cannot do and now they won't change it - even though they have a direct flight from LAX to LHR with Premium Economy and unacceptable flight allows us 54 mins to transfer flights at JFK - and my husband won't be able to walk slowly, let alone quickly, after enduring the 6-hour flight from LAX to LHR. I have chatted only to have my calls disconnected and I also have online chat which proves I did not accept this re-routed flight to JFK but they won't budge.",i booked premium economy from inv to lax via lhr they notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for then they cancelled a flight on my journey to lax they then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on  the flight that i have no chance of making as my return flight arrives too late into lhr they rerouted me from lax to jfk to lhr  which i would have accepted  but they booked the journey in economy lax to jfk which my husband 64 with a knee injury  cannot do and now they wont change it  even though they have a direct flight from lax to lhr with premium economy and unacceptable flight allows us 54 mins to transfer flights at jfk  and my husband wont be able to walk slowly let alone quickly after enduring the 6hour flight from lax to lhr i have chatted only to have my calls disconnected and i also have online chat which proves i did not accept this rerouted flight to jfk but they wont budge,"{'neg': 0.093, 'neu': 0.892, 'pos': 0.015, 'compound': -0.9328}"
8,8,"A simple story with an unfortunate outcome that really could happen to anyone. My partner and I recently started working after studying purchased two tickets to travel from London City Airport to Frankfurt. When we purchased the tickets, I mistakenly entered my name twice (e.g. Mr John Smith and Ms John Smith). Little did we know that our 1 simple mistake would cost us over 300 pounds. Upon arriving at the airport we were told there was no way to change the name (apparently they can only change 3 letters where there has been a typo?) and I had no other option to purchase the last remaining ticket if I wanted to board the flight - the price: almost seven times (!) higher than my original ticket. Zero empathy was shown. Zero alternative was offered. Trusting BA's staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket. Immediately after I purchased the ticket I contacted BA's 'Commercial Change Booking Team' and informed them of our situation. The service representative apologised and told me they could have changed the name at the cost of a small fee. He offered to cancel my original ticket and issue me a partial refund then, advising me that I had a claim to the difference and I should contact Customer Support to do so. I told this person several times I wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer, I would be denied from claiming the cost of the new ticket. He said no, I could claim the difference. Fair enough - we accepted this offer and lodged a ticket with Customer Support for the difference. Two days later, British Airways Customer Response informed us that we were unable to lodge a claim because we had 'voluntarily accepted the cancellation before the flight'. They've continued to send generic emails until this week, when they just stopped responding. So in short, British Airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund. It keeps me up at night thinking how they can do this and get away with it so easily.",a simple story with an unfortunate outcome that really could happen to anyone my partner and i recently started working after studying purchased two tickets to travel from london city airport to frankfurt when we purchased the tickets i mistakenly entered my name twice eg mr john smith and ms john smith little did we know that our 1 simple mistake would cost us over 300 pounds upon arriving at the airport we were told there was no way to change the name apparently they can only change 3 letters where there has been a typo and i had no other option to purchase the last remaining ticket if i wanted to board the flight  the price almost seven times  higher than my original ticket zero empathy was shown zero alternative was offered trusting bas staff and under the pretence that there was apparently no other way we could board the flight we bought this ticket immediately after i purchased the ticket i contacted bas commercial change booking team and informed them of our situation the service representative apologised and told me they could have changed the name at the cost of a small fee he offered to cancel my original ticket and issue me a partial refund then advising me that i had a claim to the difference and i should contact customer support to do so i told this person several times i wanted to claim the cost of the new ticket and even asked him explicitly if by accepting this offer i would be denied from claiming the cost of the new ticket he said no i could claim the difference fair enough  we accepted this offer and lodged a ticket with customer support for the difference two days later british airways customer response informed us that we were unable to lodge a claim because we had voluntarily accepted the cancellation before the flight theyve continued to send generic emails until this week when they just stopped responding so in short british airways misled and deceived my partner into accepting a lowball offer to waive our right to claim a refund it keeps me up at night thinking how they can do this and get away with it so easily,"{'neg': 0.073, 'neu': 0.852, 'pos': 0.076, 'compound': 0.2538}"
9,9,"Flight was delayed due to the inbound flight arriving late. There was no announcement to inform of the delay nor were the sceens updated. When ready to board we were requested to take our seats quickly to help reduce the delay, which people did. The pilot then announced he had received the documents for the wrong flight from ground staff, so we had to wait while they returned to get the right paperwork. After this was resolved, the pilot announced there would be a delay as there was only two push back tractors and we had to wait again. So after rushing to sit quickly, we sat the the aircraft at the gate for nearly one hour, which is longer than the flight takes ! Of course AMS is not BAs home base and it uses contracted staff here, but it should require a better level of service, It was embarrassing hearing the pilot apologise at every step of the way. It’ll be Eurostar for me next time.",flight was delayed due to the inbound flight arriving late there was no announcement to inform of the delay nor were the sceens updated when ready to board we were requested to take our seats quickly to help reduce the delay which people did the pilot then announced he had received the documents for the wrong flight from ground staff so we had to wait while they returned to get the right paperwork after this was resolved the pilot announced there would be a delay as there was only two push back tractors and we had to wait again so after rushing to sit quickly we sat the the aircraft at the gate for nearly one hour which is longer than the flight takes  of course ams is not bas home base and it uses contracted staff here but it should require a better level of service it was embarrassing hearing the pilot apologise at every step of the way itll be eurostar for me next time,"{'neg': 0.075, 'neu': 0.856, 'pos': 0.068, 'compound': 0.1901}"
10,10,"Fast and friendly check in (total contrast to Gatwick). The contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine. Food best avoided. On board, great crew and dinner was actually good quality and substantial apart from the ""chocolate and orange pot"" that seems to appear on every flight - have they bought up the global stock? The crew were always ready to top up drinks although white wine and beers were lukewarm. The crew explained that the carts are supposed to be chilled - from experience they rarely are. Is dry ice so expensive that BA can't afford it?",fast and friendly check in total contrast to gatwick the contract lounge is comfortable and spacious with a bar and pleasant staff but you have to pay for alcohol after the one free glass of wine food best avoided on board great crew and dinner was actually good quality and substantial apart from the chocolate and orange pot that seems to appear on every flight  have they bought up the global stock the crew were always ready to top up drinks although white wine and beers were lukewarm the crew explained that the carts are supposed to be chilled  from experience they rarely are is dry ice so expensive that ba cant afford it,"{'neg': 0.034, 'neu': 0.724, 'pos': 0.242, 'compound': 0.9836}"
11,11,"I don't understand why British Airways is classified as a 4 star airline? The service is really mediocre. The food is untasty and insufficient for a long haul trip. Some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience. This really is all about getting from point A to B without what it used to be an enjoyable trip making experience. The inflight entertainment is fairly good, but you do need to bring your own water not to get dehydrated, some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold, personality less experience. ",i dont understand why british airways is classified as a 4 star airline the service is really mediocre the food is untasty and insufficient for a long haul trip some members of the cabin crew are friendly but they are not attentive enough and create a very basic experience this really is all about getting from point a to b without what it used to be an enjoyable trip making experience the inflight entertainment is fairly good but you do need to bring your own water not to get dehydrated some snacks and ideally food and perhaps smile to yourself as otherwise you are faced with just a cold personality less experience ,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.9723}"
12,12,"I'm sure that BA have gradually made their economy experience (BA Euroflyer out of Gatwick) so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class. Long wait at the biz checkin ( due to status ) and dealt with by a bored agent - OK third party, but still representing BA - who hardly spoke and avoided eye contact and was more focussed on her fingernails. Lounge was crowded and grubby but at least the staff there are pleasant and helpful On board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the ""free water"" which on Gatwick services consists of a half full plastic cup rather than the luxury of a small bottle.. A fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on Easyjet who do two service runs etc.",im sure that ba have gradually made their economy experience ba euroflyer out of gatwick so miserable that passengers are tempted to upgrade to the lacklustre and overpriced business class long wait at the biz checkin  due to status  and dealt with by a bored agent  ok third party but still representing ba  who hardly spoke and avoided eye contact and was more focussed on her fingernails lounge was crowded and grubby but at least the staff there are pleasant and helpful on board the seats are cramped and uncomfortable and it took over two hours before crew appeared with food sales and the free water which on gatwick services consists of a half full plastic cup rather than the luxury of a small bottle a fellow passenger mentioned the delay and the fact that they had no sandwiches for sale which prompted the flight attendant to say that the service was much better on easyjet who do two service runs etc,"{'neg': 0.087, 'neu': 0.794, 'pos': 0.118, 'compound': 0.7641}"
13,13,"Customer Service does not exist. One world emerald, frequent long haul flyer (including BA) - never seen such poor customer service or “computer says no”. Official BA.com site said all morning and afternoon that flight from Gatwick, delayed 2 hours. Delayed leaving for airport -only for BA to change back to original time. Called BA customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. Got to airport 40 mins prior told could not board and that staff did not work for BA so could not help. Back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. Ultimately told to file complaint. Then found out flight left 2 hours delayed. Paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!",customer service does not exist one world emerald frequent long haul flyer including ba  never seen such poor customer service or computer says no official bacom site said all morning and afternoon that flight from gatwick delayed 2 hours delayed leaving for airport only for ba to change back to original time called ba customer service 15 hours prior from highway saying situation  told not to worry would note and flight rebooked if issue but go to airport got to airport 40 mins prior told could not board and that staff did not work for ba so could not help back on phone 3 hours in total to be told could be rebooked then couldnt be round and round ultimately told to file complaint then found out flight left 2 hours delayed paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to  heavens help economy and nonstatus flyers if thats what the front end of the plane gets,"{'neg': 0.107, 'neu': 0.828, 'pos': 0.065, 'compound': -0.7714}"
14,14,"Another really great pair of flights, on time, no problems at all, champagne was ok and my meal choices were great, the new club suite is a good improvement over the previous seat, in flight entertainment could have been better, can’t wait to fly with BA again and enjoy another great experience.",another really great pair of flights on time no problems at all champagne was ok and my meal choices were great the new club suite is a good improvement over the previous seat in flight entertainment could have been better cant wait to fly with ba again and enjoy another great experience,"{'neg': 0.064, 'neu': 0.511, 'pos': 0.424, 'compound': 0.9808}"
15,15,"Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended. ",our a380 developed a fault taxiing to the runway  we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault all the while ba staff were virtually nonexistent it was finally the captain who announced the flight was cancelled ba provided an alternative the next day involving a connection but it was very much take this or else you were on your own no arrangements or help made with overnight accommodation or transport  finally managed to get the legal minimum 520 compensation out of ba for the 26 hour delay they caused to my journey and expenses were reimbursed too but even this took four weeks the fact that as a business class customer ba pays the minimum they can get away with says it all  they couldnt care less about customers have no interest in loyalty and arent bothered about your business given its our flights that pay bas way id suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers not recommended ,"{'neg': 0.132, 'neu': 0.789, 'pos': 0.08, 'compound': -0.6936}"
16,16,Horrible airline. Does not care about their customers. Used to be decent but has now since really fell off. A flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back? Didn't even offer juices. I would stick with another airline.,horrible airline does not care about their customers used to be decent but has now since really fell off a flight time of 5 hours and 30 mins but no meal while the flight attendants were having their eggs and sausage in the back didnt even offer juices i would stick with another airline,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.7063}"
